from,to,street_name
1589925018,1588356797,улица Вяткина
1588356797,8341103766,улица Вяткина
8341103766,8105326964,улица Вяткина
8105326964,330792289,улица Вяткина
1590006845,8944712604,Хакасская улица
8944712604,10172683626,Хакасская улица
10172683626,4049502239,Хакасская улица
4049502239,10172683622,Хакасская улица
10172683622,10172990049,Хакасская улица
10172990049,8192604763,Хакасская улица
8192604763,4049542314,Хакасская улица
4049542314,330970744,Хакасская улица
1590353032,1590353029,-
1590353029,1590353015,-
1590353015,1590353012,-
1590353012,1590353009,-
1590353009,1590353006,-
1590353006,1590353004,-
1590353004,1590353000,-
1590353000,1590352998,-
1590352998,1590352999,-
1590352999,1590353001,-
1590353001,1590353030,-
1590353030,1590353034,-
1590353047,1590353061,-
1590352881,1590352971,-
1590353026,1590353039,-
1590353004,1590352996,-
1590352882,1590352978,-
1590353058,1590371633,-
1590353051,1590353048,-
1590353048,1590353022,-
1590353125,1590353099,-
1590353099,1590353076,-
1590353076,10099741847,-
1590353120,8011637011,-
8011637011,1590353187,-
1590353073,1590353071,-
1590353071,1590353062,-
1590353127,1590353136,-
1590353136,1590353143,-
1590353143,1590353148,-
1590353116,1590353102,-
1590353102,1590353094,-
1590353094,1590353091,-
1590353116,1590353122,-
1590353122,1590353145,-
1590353145,1590353156,-
1590353205,1590353203,-
1590353203,1590353194,-
1590353194,1590353202,-
1590353202,1590353195,-
1590353127,1590353130,-
1590353130,1590353135,-
1590353135,1590353138,-
1590353138,1590353153,-
1590353084,1590353085,-
1590353085,1590353088,-
1590353088,1590353089,-
1590353089,1590353087,-
1590353204,1590353201,-
1590353201,8011637014,-
8011637014,1590353199,-
1590353199,1590353191,-
1590353191,1590353183,-
1590353053,1590353052,-
1590353052,1590353023,-
1590353023,1590353021,-
1590353021,1590353018,-
1590353059,1590353060,-
1590353060,1590353061,-
1590353061,1590353062,-
1590353062,1590353066,-
1590353083,1590353084,-
1590353084,1590353086,-
1590353086,1590353090,-
1590353090,1590353127,-
1590353200,8011637013,-
8011637013,1590353192,-
1590353192,1590353180,-
