,Unnamed: 0,Город,Федеральный округ,Население,Широта,Долгота,Часовой пояс,admin_levels
37,37,Киров,Приволжский,473668.0,58.6035313,49.6679219,UTC+3,"[6.0, 9.0]"
38,38,Чебоксары,Приволжский,447929.0,56.1439378,47.2488718,UTC+3,"[6.0, 9.0]"
39,39,Улан-Удэ,Сибирский,431922.0,51.8334378,107.5841511,UTC+8,"[6.0, 9.0]"
40,40,Калининград,Северо-Западный,431491.0,54.7073218,20.5072458,UTC+2,"[6.0, 9.0]"
41,41,Брянск,Центральный,415640.0,53.2420071,34.3652716,UTC+3,"[6.0, 9.0]"
42,42,Курск,Центральный,414595.0,51.7303391,36.1926448,UTC+3,"[6.0, 9.0]"
43,43,Иваново,Центральный,409277.0,56.9994677,40.9728231,UTC+3,"[6.0, 9.0]"
44,44,Магнитогорск,Уральский,408401.0,53.4071891,58.9791432,UTC+5,[6.0]
45,45,Тверь,Центральный,403726.0,56.8585396,35.9117898,UTC+3,"[6.0, 9.0]"
46,46,Ставрополь,Северо-Кавказский,398266.0,45.0445439,41.9690168,UTC+3,"[6.0, 9.0]"
47,47,Симферополь,Южный,362366.0,44.9482645,34.100117,UTC+3,"[6.0, 9.0]"
48,48,Нижний Тагил,Уральский,361883.0,57.9101038,59.9813242,UTC+5,"[6.0, 9.0]"
49,49,Белгород,Центральный,356426.0,50.5977351,36.5858236,UTC+3,"[6.0, 9.0]"
50,50,Архангельск,Северо-Западный,348716.0,64.5392985,40.5170083,UTC+3,"[6.0, 9.0]"
51,51,Владимир,Центральный,348256.0,56.1281561,40.4082995,UTC+3,"[6.0, 9.0]"
52,52,Севастополь,Южный,344479.0,44.6167334,33.5253552,UTC+3,[4.0]
53,53,Сочи,Южный,343285.0,43.5855829,39.7231419,UTC+3,"[6.0, 9.0]"
54,54,Курган,Уральский,333640.0,55.4443448,65.3161339,UTC+5,[6.0]
55,55,Смоленск,Центральный,326863.0,54.7867168,31.8153366,UTC+3,"[6.0, 9.0]"
56,56,Калуга,Центральный,325185.0,54.5060439,36.2515933,UTC+3,"[6.0, 11.0]"
57,57,Чита,Сибирский,323964.0,52.0340128,113.4994884,UTC+9,"[6.0, 9.0]"
58,58,Орeл,Центральный,317854.0,52.9672573,36.0696479,UTC+3,"[6.0, 9.0]"
59,59,Волжский,Южный,314436.0,48.7978483,44.7462417,UTC+3,[6.0]
60,60,Череповец,Северо-Западный,312311.0,59.1269214,37.9092243,UTC+3,[6.0]
61,61,Владикавказ,Северо-Кавказский,311635.0,43.0205039,44.6819383,UTC+3,"[6.0, 9.0]"
62,62,Мурманск,Северо-Западный,307664.0,69.0076958,33.0686019,UTC+3,"[6.0, 9.0]"
63,63,Сургут,Уральский,306703.0,61.2539773,73.3961726,UTC+5,[6.0]
64,64,Вологда,Северо-Западный,301642.0,59.2484186,39.8356461,UTC+3,[6.0]
65,65,Саранск,Приволжский,297425.0,54.1807601,45.1862263,UTC+3,"[6.0, 9.0]"
66,66,Тамбов,Центральный,280457.0,52.7213021,41.452258,UTC+3,"[6.0, 9.0]"
67,67,Стерлитамак,Приволжский,273432.0,53.6302498,55.9315707,UTC+5,[6.0]
68,68,Грозный,Северо-Кавказский,271596.0,43.3179243,45.6981102,UTC+3,"[6.0, 9.0]"
69,69,Якутск,Дальневосточный,269486.0,62.0280273,129.7325717,UTC+9,[6.0]
70,70,Кострома,Центральный,268617.0,57.8029445,40.9907282,UTC+3,[6.0]
71,71,Комсомольск-на-Амуре,Дальневосточный,263906.0,50.550011,137.0079286,UTC+10,[6.0]
72,72,Петрозаводск,Северо-Западный,263540.0,61.78909,34.3596263,UTC+3,"[6.0, 9.0]"
73,73,Таганрог,Южный,257692.0,47.2094907,38.935154,UTC+3,[6.0]
74,74,Нижневартовск,Уральский,251860.0,60.9397379,76.5696206,UTC+5,[6.0]
75,75,Йошкар-Ола,Приволжский,248688.0,56.6343763,47.8998445,UTC+3,[6.0]
76,76,Братск,Сибирский,246348.0,56.1513951,101.6339892,UTC+8,[6.0]
